mean_favorite_count,sum_favorite_count,mean_retweet_count,sum_retweet_count,mean_display_text_width,sum_display_text_width,n,code
0,0,1.5,3,128,256,2,SB
1,4,0,0,103.25,413,4,TS
1,5,0,0,109,545,5,TS
1.25,5,0,0,104,416,4,TS
1,2,0,0,128,256,2,TS
0,0,0,0,119.5,239,2,TS
1,2,0,0,81,162,2,TS
1,3,0.3333333333333333,1,101.33333333333333,304,3,SB
0,0,0,0,109,109,1,TS
0,0,0,0,64,64,1,TS
0,0,0,0,110,110,1,TS
1.75,7,1.5,6,100.25,401,4,SB
2,8,1.25,5,107.75,431,4,SB
1.8,9,0.8,4,117,585,5,SB
2.2,11,0.8,4,114.8,574,5,SB
1.25,5,0.75,3,108.5,434,4,SB
0.5,1,0.5,1,98.5,197,2,TS
0.5,1,0.5,1,97.5,195,2,TS
0,0,0,0,98,196,2,TS
1,2,0,0,109.5,219,2,SB
0.5,1,0,0,80.5,161,2,SB
0,0,0,0,109,218,2,TS
1.5,3,0.5,1,62,124,2,TS
2.5,5,1,2,93.5,187,2,TS
2,4,0.5,1,81.5,163,2,TS
1.5,3,0,0,98.5,197,2,SB
2,4,1,2,103,206,2,SB
0,0,0,0,45.5,91,2,TS
0.3333333333333333,2,0.16666666666666666,1,103.16666666666667,619,6,SB
3,9,0.3333333333333333,1,108.33333333333333,325,3,SB
0,0,0.5,1,113,226,2,TS
0,0,0,0,79.5,159,2,SB
0,0,0.3333333333333333,1,113.33333333333333,340,3,TS
0.3333333333333333,1,0.6666666666666666,2,121.66666666666667,365,3,SB
5.5,11,4,8,79,158,2,TS
0,0,0.5,1,138,276,2,SB
1,2,0.5,1,96,192,2,SB
2.5,5,4.5,9,137,274,2,SB
1,2,0,0,105,210,2,SB
0.5,2,0,0,92.25,369,4,SB
3.5,7,0.5,1,98,196,2,SB
2,4,1.5,3,94,188,2,TS
1,2,0,0,84,168,2,SB
2.5,5,0.5,1,133,266,2,SB
3,6,1.5,3,107,214,2,SB
0.5,3,0.3333333333333333,2,99.83333333333333,599,6,SB
1.4,7,1,5,98.8,494,5,SB
0.75,3,1.25,5,92,368,4,SB
0.6666666666666666,4,0,0,103,618,6,SB
0.5,2,0,0,115.5,462,4,SB
1.5,6,1.5,6,81.5,326,4,TS
0.5,2,0,0,115.75,463,4,SB
1,2,0,0,120,240,2,SB
0.5,1,0,0,96,192,2,SB
3.6666666666666665,11,0.6666666666666666,2,133,399,3,SB
3.5,7,0.5,1,107.5,215,2,TS
3,9,0.6666666666666666,2,127.33333333333333,382,3,TS
2,4,0.5,1,89,178,2,SB
1.5,3,0.5,1,125.5,251,2,TS
0.5,1,0,0,109,218,2,SB
1.3333333333333333,8,0,0,108,648,6,SB
2,8,1.5,6,104,416,4,TS
0.3333333333333333,1,0,0,67,201,3,SB
0.6666666666666666,2,0,0,82.66666666666667,248,3,SB
2,2,0,0,125,125,1,TS
1,2,1,2,110,220,2,SB
0.5,1,2,4,94,188,2,SB
0,0,0,0,94.5,189,2,TS
2,4,2.5,5,110,220,2,TS
0.5,1,1,2,77,154,2,TS
1.75,7,0.5,2,114.5,458,4,SB
0.7142857142857143,5,0.42857142857142855,3,115.57142857142857,809,7,SB
1.5,3,1,2,123,246,2,TS
0.7142857142857143,5,0.2857142857142857,2,113.71428571428571,796,7,SB
0.6666666666666666,4,0.3333333333333333,2,111.33333333333333,668,6,SB
0.5,3,0.16666666666666666,1,121.66666666666667,730,6,SB
0.8,4,0.2,1,119.8,599,5,SB
1.3333333333333333,4,0.3333333333333333,1,115.33333333333333,346,3,SB
1,2,0,0,98.5,197,2,SB
1,2,0.5,1,109.5,219,2,SB
1,1,0,0,82,82,1,SB
0,0,0,0,92.5,185,2,SB
2,4,0,0,134.5,269,2,SB
2,4,0,0,139,278,2,TS
2.25,9,1.25,5,95,380,4,TS
4,4,2,2,137,137,1,TS
1,5,0,0,120,600,5,SB
1.2,6,0,0,107.2,536,5,SB
2,4,0.5,1,90.5,181,2,SB
1.2857142857142858,9,0,0,118,826,7,SB
2.6666666666666665,8,0.3333333333333333,1,114,342,3,SB
2,6,0.3333333333333333,1,90.33333333333333,271,3,SB
2,6,0.3333333333333333,1,102,306,3,SB
0.5,1,0,0,85.5,171,2,TS
1,2,0,0,55.5,111,2,TS
0,0,0,0,85.5,171,2,TS
1,2,0.5,1,110.5,221,2,SB
1,1,0,0,103,103,1,TS
0,0,1,2,136,272,2,SB
2.5,5,1,2,118,236,2,SB
3,6,0.5,1,116.5,233,2,SB
1,3,0.3333333333333333,1,116,348,3,SB
0.5,2,0,0,99.25,397,4,SB
0.5,1,0,0,122,244,2,SB
0,0,0,0,69.5,139,2,TS
1,1,0,0,103,103,1,TS
1.5,3,0.5,1,104,208,2,SB
0.5,1,0,0,112.5,225,2,SB
1,4,0,0,129.25,517,4,SB
1.3333333333333333,4,0.3333333333333333,1,131.66666666666666,395,3,SB
0.3333333333333333,1,0.6666666666666666,2,133.33333333333334,400,3,SB
1,3,0.6666666666666666,2,113.33333333333333,340,3,SB
0,0,0.5,1,139,278,2,SB
0.6666666666666666,2,0,0,73.66666666666667,221,3,SB
1.5,3,1,2,113.5,227,2,SB
1,2,1.5,3,139,278,2,TS
4,8,0,0,120,240,2,SB
3.1666666666666665,19,0.3333333333333333,2,119.16666666666667,715,6,SB
3.3333333333333335,20,0.3333333333333333,2,121.83333333333333,731,6,SB
3,18,0.16666666666666666,1,117.5,705,6,SB
3.6,18,0,0,112.6,563,5,SB
3.5,7,0,0,102.5,205,2,TS
3.4,17,0,0,97,485,5,SB
4.25,17,0.25,1,120,480,4,SB
4.333333333333333,13,0,0,110.66666666666667,332,3,SB
0.5,1,0,0,40.5,81,2,TS
1.3333333333333333,4,1,3,99,297,3,TS
2,6,0,0,120,360,3,SB
4.5,18,1.5,6,103.5,414,4,SB
2.5,15,1.3333333333333333,8,115.66666666666667,694,6,SB
1,2,0,0,85,170,2,SB
2,4,0,0,111,222,2,TS
2.6,13,1.4,7,116.2,581,5,SB
2.5,15,1,6,107.5,645,6,SB
1,2,0,0,58.5,117,2,TS
2.5,15,1,6,88.66666666666667,532,6,SB
3.6,18,1.2,6,103.4,517,5,SB
0,0,0,0,47.5,95,2,TS
0.6666666666666666,2,0,0,62.666666666666664,188,3,TS
1.3333333333333333,4,0.3333333333333333,1,104.66666666666667,314,3,SB
1.25,5,0,0,100.25,401,4,SB
3.5,7,0.5,1,83.5,167,2,SB
2.6666666666666665,8,0,0,84,252,3,SB
2,4,0,0,92,184,2,SB
0.5,1,0,0,69,138,2,TS
0.5,1,0,0,78.5,157,2,TS
1,1,0,0,121,121,1,SB
2,6,0.3333333333333333,1,110,330,3,SB
0,0,0,0,68,68,1,TS
0,0,0,0,47,94,2,TS
0.25,1,0.5,2,120,480,4,TS
0,0,0,0,140,140,1,TS
0,0,0,0,138,138,1,TS
0.5,2,0,0,104.75,419,4,TS
2,4,0,0,84.5,169,2,TS
1.5,3,0,0,95,190,2,TS
0.5,1,0,0,102,204,2,TS
0.5,1,0,0,75.5,151,2,TS
1.5,3,0,0,73,146,2,TS
1,2,0,0,40.5,81,2,TS
0.5,1,0,0,55,110,2,TS
2.5,5,1.5,3,64.5,129,2,TS
1.5,3,0,0,84,168,2,TS
0,0,0,0,98.33333333333333,295,3,TS
0.5,1,0,0,99,198,2,TS
0.5,1,0,0,101,202,2,TS
0,0,0,0,83.5,167,2,TS
1.25,5,0,0,80.75,323,4,TS
1.75,7,0.25,1,92.25,369,4,TS
1,2,2,4,89,178,2,TS
0.5,1,0,0,98,196,2,TS
1,2,0,0,86,172,2,TS
0.5,1,0,0,40.5,81,2,TS
0,0,0,0,62,124,2,TS
1,3,0,0,77,231,3,TS
0.5,1,0,0,128,256,2,TS
1.5,3,0.5,1,80.5,161,2,TS
0.3333333333333333,1,0,0,76.66666666666667,230,3,TS
0.3333333333333333,1,0,0,74.33333333333333,223,3,TS
2.5,5,0.5,1,83.5,167,2,TS
4.666666666666667,14,2.6666666666666665,8,101.66666666666667,305,3,TS
