student_ID,course_ID,subject,semester,section,int,uv,percomp,tv,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,date.x,post_int,post_uv,post_tv,post_percomp,date.y,date
85416,FrScA-S116-01,FrScA,S116,01,4.8,3.3333333333333335,4,4.142857142857143,5,3,4,5,5,4,4,5,3,4,2015-09-09T21:46:00Z,5,4.666666666666667,4.857142857142857,4,2016-01-04T13:25:00Z,NA
85431,FrScA-S116-01,FrScA,S116,01,4,3.3333333333333335,2.5,3.7142857142857144,4,3,3,4,4,4,2,4,3,4,2015-09-14T12:32:00Z,NA,NA,NA,NA,NA,NA
85432,FrScA-S116-01,FrScA,S116,01,4.6,3,4,3.857142857142857,4,2,3,5,5,4,5,4,3,5,2015-09-21T12:12:00Z,5,4,4.571428571428571,4.5,2016-01-04T15:21:00Z,NA
85433,FrScA-S116-01,FrScA,S116,01,4.4,3.3333333333333335,4,3.857142857142857,5,3,3,5,4,4,5,4,3,4,2015-09-18T12:41:00Z,2.5,2.6666666666666665,2.5714285714285716,2.5,2016-01-10T19:16:00Z,NA
85443,FrScA-S116-01,FrScA,S116,01,4.8,3.3333333333333335,3.5,4.142857142857143,4,3,4,5,5,4,3,5,3,5,2015-09-14T15:12:00Z,NA,NA,NA,NA,NA,NA
85487,OcnA-S116-02,OcnA,S116,02,3.4,4.333333333333333,3,3.7142857142857144,3,5,2,4,4,5,4,4,3,2,2015-09-28T17:46:00Z,NA,NA,NA,NA,NA,NA
85522,PhysA-S116-01,PhysA,S116,01,3.4,3.6666666666666665,3,3.5714285714285716,4,4,2,3,4,3,4,4,4,2,2015-10-19T22:13:00Z,NA,NA,NA,NA,NA,NA
85539,FrScA-S116-01,FrScA,S116,01,3.8,4,3.5,3.857142857142857,4,4,3,4,4,4,4,4,4,3,2015-09-19T00:13:00Z,3.25,3.3333333333333335,3.2857142857142856,3,2016-01-18T19:21:00Z,NA
85567,FrScA-S116-02,FrScA,S116,02,4.6,3.3333333333333335,4,4,4,3,3,5,5,4,5,5,3,4,2015-09-09T14:46:00Z,NA,NA,NA,NA,NA,NA
85573,FrScA-S116-03,FrScA,S116,03,4,NA,4.5,NA,5,3,4,4,4,3,5,4,NA,3,2015-09-11T16:08:00Z,3.75,3,3.4285714285714284,3.5,2016-01-20T14:32:00Z,NA
85574,FrScA-S116-03,FrScA,S116,03,5,4,4.5,4.571428571428571,5,4,4,5,5,4,5,5,4,5,2015-09-10T17:12:00Z,NA,NA,NA,NA,NA,NA
85583,AnPhA-S116-01,AnPhA,S116,01,5,5,3.5,5,5,5,5,5,5,5,2,5,5,5,2015-09-17T14:11:00Z,NA,NA,NA,NA,NA,NA
