student_ID,course_ID,gender,enrollment_reason,enrollment_status,final_grade,time_spent
95017,AnPhA-S216-02,F,Other,Approved/Enrolled,71.52,2773.6164
95041,AnPhA-S216-02,F,Other,Approved/Enrolled,14.5408,322.9502
95160,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,94.4208,4154.4333
95264,AnPhA-S216-02,M,Learning Preference of the Student,Dropped,NA,237.3
95377,AnPhA-S216-02,F,Learning Preference of the Student,Approved/Enrolled,76.6304,1089.9667
95919,AnPhA-S216-02,M,Course Unavailable at Local School,Approved/Enrolled,86.534932800000007,1937.4333
96826,AnPhA-S216-02,F,Learning Preference of the Student,Approved/Enrolled,88.408,1073.95
96871,AnPhA-S216-02,F,Other,Approved/Enrolled,81.1482656,244.3835
66508,AnPhA-T116-01,F,Scheduling Conflict,Dropped,NA,0.45
76132,AnPhA-T116-01,F,Other,Approved/Enrolled,95.3392,5037.3331
79859,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,72.992,2040.7333
84640,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,86.1648,2362.1
84641,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,83.5525328,4614.4
84749,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,82.552,4199.4169
84757,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,85.3376,128.6165
87865,AnPhA-T116-01,F,Scheduling Conflict,Approved/Enrolled,83.1264,1304.1168
88995,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,85.7936,119.3169
89005,AnPhA-T116-01,M,Course Unavailable at Local School,Approved/Enrolled,87.6208,2429.3997
90516,AnPhA-T116-01,F,Learning Preference of the Student,Approved/Enrolled,73.8816,250.4331
61965,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,77.65698925,615.2168
68598,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,87.24408602,3331.6169
69937,BioA-S116-01,F,Learning Preference of the Student,Withdrawn,NA,1.2168
70408,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,91.50537634,6664.4499
70681,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,90.23655914,2602.2333
71434,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,83.96021505,1006.3337
77169,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,93.8172043,735.0999
85292,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,93.34946237,264.2002
