mean_favorite_count,mean_retweet_count,mean_status_count,mean_followers_count,mean_friends_count,sum_display_text_width,n,code
0.5,0,42679.5,5240.5,2974.5,106,2,TS
2,0,15368,4455,4183.5,96,2,TS
1.3333333333333333,0,23435.333333333332,2093,750.3333333333334,170,3,TS
2,0,9960,2093.5,2092,141,2,TS
2,0,4409,1552.5,1283.5,64,2,TS
0,0,63114,5241,663,54,1,TS
0.5,0.25,33911.5,3086.5,1039.5,162,4,TS
2,0,14842.5,4475.5,4029.5,88,2,TS
2,0,3949.5,808.5,610,88,2,TS
0,0.3333333333333333,40740.666666666664,4279,1605,269,3,SB
0,0.3333333333333333,7648,4868,1956.3333333333333,310,3,SB
1,0,17836,3002.5,2494,234,2,SB
0.5,0,36364.5,3839.5,2238.5,133,2,TS
0,0,31921,2761.5,485,56,2,TS
0.5,0,18127,2768,2326,210,2,TS
1,1,1968,1430,1249,57,1,TS
1.5,0.5,32440,4240.5,538.5,145,2,SB
0,0,63114,5241,663,81,1,SB
0,0,63114,5241,663,81,1,SB
0,0,63114,5241,663,81,1,SB
1.25,0,35131.75,2913.25,536,378,4,TS
0,0.5,7949.5,3946.5,1430,130,2,SB
1,0,37368,2966.5,537,315,4,TS
0,0,32251.5,2844,815.5,403,4,TS
3,0.5,20549,3446,2656,153,2,TS
2.5,1,9146,2549,2319.5,192,2,TS
1,0,2616.5,1179,878,145,2,TS
2,0,14250.5,4105,3561.5,188,2,TS
0.5,0,31567,2628.5,337.5,199,2,TS
7.5,1.75,1883,3407.75,962,302,4,TS
0,0,32276,2974,756.5,177,2,TS
0.3333333333333333,0,10009.333333333334,2957.3333333333335,2385.6666666666665,357,3,SB
0,0,18516.5,3058.5,3465,241,2,TS
0.4,0,11445.4,3474,2762.8,476,5,SB
0.4,0,11950.4,3610.6,2809.6,437,5,SB
3,1.5,3189.5,860.5,1154,149,2,TS
0,0,27140,8391,7573,132,1,TS
0,1.5,32895.5,2860,535,256,2,SB
1,0,766,385,484,413,4,TS
1,0,11077.8,1850.2,1494.4,545,5,TS
1.25,0,26722.25,3153,1595.5,416,4,TS
1,0,5807,940,876.5,256,2,TS
0,0,18516.5,3058.5,3465,239,2,TS
1,0,34885,3005,931.5,162,2,TS
1,0.3333333333333333,23056.666666666668,2105,723.6666666666666,304,3,SB
0,0,14839,1485,1231,109,1,TS
0,0,63114,5241,663,64,1,TS
0,0,1438,707,850,110,1,TS
1.75,1.5,26724.5,5046.5,3156.75,401,4,SB
2,1.25,42479.5,6341,3293,431,4,SB
1.8,0.8,12093,1818.4,1821.6,585,5,SB
2.2,0.8,15071.6,2501.2,2462.6,574,5,SB
1.25,0.75,8997,2228.5,2141,434,4,SB
0.5,0.5,15633.5,4609,4799,197,2,TS
0.5,0.5,50115.5,5933,5585,195,2,TS
0,0,1989.5,577.5,546.5,196,2,TS
1,0,40767.5,3555,1305.5,219,2,SB
0.5,0,1910.5,815,514.5,161,2,SB
0,0,33338.5,3405,763.5,218,2,TS
1.5,0.5,10625,1121.5,1224,124,2,TS
2.5,1,9220.5,942.5,980,187,2,TS
2,0.5,11821.5,2227.5,1860.5,163,2,TS
1.5,0,1319.5,311.5,302,197,2,SB
2,1,40767.5,3555,1305.5,206,2,SB
0,0,71284.5,4609.5,2178,91,2,TS
0.3333333333333333,0.16666666666666666,36396,2830.3333333333335,1766.5,619,6,SB
3,0.3333333333333333,6375.333333333333,2100.6666666666665,1467.3333333333333,325,3,SB
0,0.5,593,262,165.5,226,2,TS
0,0,9793.5,1188.5,1133.5,159,2,SB
0,0.3333333333333333,16147,3971.3333333333335,3866.6666666666665,340,3,TS
0.3333333333333333,0.6666666666666666,35868,5240.333333333333,3745,365,3,SB
5.5,4,33182.5,3057,724.5,158,2,TS
0,0.5,32251.5,2844,815.5,276,2,SB
1,0.5,8611,1204,705,192,2,SB
2.5,4.5,14453,5815.5,3993.5,274,2,SB
1,0,34168,3913.5,1218,210,2,SB
0.5,0,52232.25,5477.25,1508.25,369,4,SB
3.5,0.5,36025.5,3321,1004.5,196,2,SB
2,1.5,23687.5,3999.5,3931,188,2,TS
1,0,1466,1874,366.5,168,2,SB
2.5,0.5,2249.5,581.5,696,266,2,SB
3,1.5,1718,2014.5,653,214,2,SB
0.5,0.3333333333333333,2813.6666666666665,703.3333333333334,932.6666666666666,599,6,SB
1.4,1,2325.2,1286.4,793.2,494,5,SB
0.75,1.25,3333.5,1056,1178.5,368,4,SB
0.6666666666666666,0,24786.333333333332,2344.6666666666665,759,618,6,SB
0.5,0,9405.5,2239.5,2092.5,462,4,SB
1.5,1.5,23723,5210.5,2605.5,326,4,TS
0.5,0,32800.5,3026,729,463,4,SB
1,0,3856.5,914,1245.5,240,2,SB
0.5,0,9926,1061.5,1066.5,192,2,SB
3.6666666666666665,0.6666666666666666,30143.666666666668,4861,4789,399,3,SB
3.5,0.5,20086.5,5470,5207.5,215,2,TS
3,0.6666666666666666,37271.333333333336,7534.666666666667,7507.666666666667,382,3,TS
2,0.5,36430.5,4858.5,1550.5,178,2,SB
1.5,0.5,2344.5,790,818,251,2,TS
0.5,0,9318.5,1159,1090,218,2,SB
1.3333333333333333,0,8471,2904,2729.5,648,6,SB
2,1.5,15639.5,6465.75,4187.25,416,4,TS
0.3333333333333333,0,11477,3561,3391.3333333333335,201,3,SB
0.6666666666666666,0,19529,3922.3333333333335,3342.3333333333335,248,3,SB
2,0,63114,5241,663,125,1,TS
1,1,1466,1874,366.5,220,2,SB
0.5,2,28895.5,2730.5,2848.5,188,2,SB
0,0,18127,2768,2326,189,2,TS
2,2.5,10969.5,3752,3020.5,220,2,TS
0.5,1,14285.5,4322.5,3879,154,2,TS
1.75,0.5,11628.25,1314.5,1550.75,458,4,SB
0.7142857142857143,0.42857142857142855,20373.571428571428,2629.714285714286,1721.7142857142858,809,7,SB
1.5,1,16404,4746,4638.5,246,2,TS
0.7142857142857143,0.2857142857142857,27677.428571428572,2842,1334.142857142857,796,7,SB
0.6666666666666666,0.3333333333333333,21771.333333333332,2442.1666666666665,1446,668,6,SB
0.5,0.16666666666666666,38935.333333333336,3958.5,1530,730,6,SB
0.8,0.2,33159.2,3106.8,1107.6,599,5,SB
1.3333333333333333,0.3333333333333333,29858.333333333332,2472.6666666666665,768.3333333333334,346,3,SB
1,0,63114,5241,663,197,2,SB
1,0.5,37368,2966.5,537,219,2,SB
1,0,63114,5241,663,82,1,SB
0,0,31665,2845,447.5,185,2,SB
2,0,10096.5,1271,982.5,269,2,SB
2,0,8492.5,4564,2679.5,278,2,TS
2.25,1.25,390,163.5,232.5,380,4,TS
4,2,125,39,194,137,1,TS
1,0,19312.8,2852.4,1656.8,600,5,SB
1.2,0,13855.2,2230.2,1258.6,536,5,SB
2,0.5,2785,753,483,181,2,SB
1.2857142857142858,0,11853.857142857143,2029.5714285714287,2707,826,7,SB
2.6666666666666665,0.3333333333333333,9961.666666666666,2303,2786.3333333333335,342,3,SB
2,0.3333333333333333,11851.333333333334,2848,3672.6666666666665,271,3,SB
2,0.3333333333333333,10387,2897.3333333333335,2992.3333333333335,306,3,SB
0.5,0,35897,3386,1328.5,171,2,TS
1,0,33620.5,3034,1344,111,2,TS
0,0,22451,5518.5,5690.5,171,2,TS
1,0.5,31999.5,3078.5,1023,221,2,SB
1,0,1766,3240,414,103,1,TS
0,1,28895.5,2730.5,2848.5,272,2,SB
2.5,1,691,478.5,275.5,236,2,SB
3,0.5,2687,467,493,233,2,SB
1,0.3333333333333333,1502,695.3333333333334,701,348,3,SB
0.5,0,9840.25,2703.25,2936.5,397,4,SB
0.5,0,4402.5,785,1094,244,2,SB
0,0,14554,4910.5,4411,139,2,TS
1,0,14839,1485,1231,103,1,TS
1.5,0.5,19709.5,2847,2395,208,2,SB
0.5,0,2316,2035.5,470,225,2,SB
1,0,6288,2425,1469,517,4,SB
1.3333333333333333,0.3333333333333333,5024,1158,1119.3333333333333,395,3,SB
0.3333333333333333,0.6666666666666666,14414.666666666666,3511.3333333333335,3810.3333333333335,400,3,SB
1,0.6666666666666666,14414.666666666666,3511.3333333333335,3810.3333333333335,340,3,SB
0,0.5,14908.5,4435,3990,278,2,SB
0.6666666666666666,0,6664.666666666667,3643,1715,221,3,SB
1.5,1,17495,2932.5,2233,227,2,SB
1,1.5,10009,6113.5,3132.5,278,2,TS
4,0,7225.5,533,455.5,240,2,SB
3.1666666666666665,0.3333333333333333,21633.333333333332,1967,676.1666666666666,715,6,SB
3.3333333333333335,0.3333333333333333,27226.666666666668,2207.5,440.6666666666667,731,6,SB
3,0.16666666666666666,19428.333333333332,1945.3333333333333,895.1666666666666,705,6,SB
3.6,0,20525.6,1672.8,580.2,563,5,SB
3.5,0,7786.5,1063,719.5,205,2,TS
3.4,0,30180.6,2424,466.6,485,5,SB
4.25,0.25,37368,2966.5,537,480,4,SB
4.333333333333333,0,12108.666666666666,1107.6666666666667,645.6666666666666,332,3,SB
0.5,0,35215,3102.5,1061,81,2,TS
1.3333333333333333,1,22893,5431.666666666667,923.3333333333334,297,3,TS
2,0,12511.666666666666,2141.6666666666665,1650.6666666666667,360,3,SB
4.5,1.5,11572.5,3419,2426,414,4,SB
2.5,1.3333333333333333,15716.666666666666,2196,1458.1666666666667,694,6,SB
1,0,3334.5,925,1373.5,170,2,SB
2,0,8692,1022.5,858.5,222,2,TS
2.6,1.4,17597.2,2111.8,847.6,581,5,SB
2.5,1,9991.333333333334,2265,1448.5,645,6,SB
1,0,3949.5,808.5,610,117,2,TS
2.5,1,7215.5,2493.5,1192.8333333333333,532,6,SB
3.6,1.2,11168.2,4038.4,2976.4,517,5,SB
0,0,53297.5,6184.5,5633,95,2,TS
0.6666666666666666,0,13088.666666666666,4076,4398,188,3,TS
1.3333333333333333,0.3333333333333333,2705,688.6666666666666,484,314,3,SB
1.25,0,2852.5,508,580.5,401,4,SB
3.5,0.5,3028,537,754,167,2,SB
2.6666666666666665,0,12417,2203.6666666666665,1646,252,3,SB
2,0,10483,1214.5,1217,184,2,SB
0.5,0,46334,4519.5,1369.5,138,2,TS
0.5,0,5283.5,918.5,1122.5,157,2,TS
1,0,728,282,307,121,1,SB
2,0.3333333333333333,15307,3578,3585.6666666666665,330,3,SB
0,0,39370,3592,3749,68,1,TS
0,0,14478,4483.5,4144.5,94,2,TS
0.25,0.5,32895.5,2860,535,480,4,TS
0,0,3563,1569,864,140,1,TS
0,0,728,282,307,138,1,TS
0.5,0,21007,3568.25,2955,419,4,TS
2,0,47637.5,5366,2314.5,169,2,TS
1.5,0,16963.5,4365.5,2190,190,2,TS
0.5,0,8002.5,996.5,775,204,2,TS
0.5,0,32140,2874.5,491,151,2,TS
1.5,0,37368,2966.5,537,146,2,TS
1,0,43847,4725,2111,81,2,TS
0.5,0,17572.5,6399,5843,110,2,TS
2.5,1.5,2724,560,426,129,2,TS
1.5,0,32392,3015,777.5,168,2,TS
0,0,4472,812.3333333333334,963.3333333333334,295,3,TS
0.5,0,3471.5,1201.5,854.5,198,2,TS
0.5,0,4452.5,1264.5,1667.5,202,2,TS
0,0,2054,558,576,167,2,TS
1.25,0,38074.75,4656.5,1788.5,323,4,TS
1.75,0.25,34435.25,4549.5,1044.5,369,4,TS
1,2,12612.5,4137.5,3384,178,2,TS
0.5,0,42479.5,6341,3293,196,2,TS
1,0,6836.5,2754,2908.5,172,2,TS
0.5,0,32140,2874.5,491,81,2,TS
0,0,31937,2776,558,124,2,TS
1,0,23205.333333333332,2329,745,231,3,TS
0.5,0,4072.5,624.5,759,256,2,TS
1.5,0.5,2991.5,894.5,822.5,161,2,TS
0.3333333333333333,0,11341,12344.333333333334,3788.6666666666665,230,3,TS
0.3333333333333333,0,23332.333333333332,11294.333333333334,1485.3333333333333,223,3,TS
2.5,0.5,20908.5,75436,12122,167,2,TS
4.666666666666667,2.6666666666666665,12332,21474.333333333332,4406.333333333333,305,3,TS
5.5,3,34021,16628.5,1743,196,2,TS
0.5,0,35559.5,4824,2388,153,2,TS
3,1,33255,5991.5,5661,164,2,TS
0,0,35868,5240.333333333333,3745,101,3,TS
1,0,31639.5,2654.5,400.5,156,2,TS
1.6666666666666667,0,10858,3105.3333333333335,2900,316,3,TS
2,0,32476,2823.5,498,170,2,TS
0.5,0,36430.5,4858.5,1550.5,70,2,TS
0,0,33355,2880,728.5,95,2,TS
0.3333333333333333,0,24502,2933,629,118,3,TS
0.5,0,32829.5,2900.5,574.5,87,2,TS
0.5,0,34885,3005,931.5,87,2,TS
0,0,34518.5,3412,1152.5,130,2,TS
3,0,31866.5,2766.5,476.5,176,2,TS
2,0,35601.333333333336,6707.666666666667,4169.666666666667,248,3,TS
0,0,32400.5,2840.5,544.5,103,2,TS
0.5,0,20751,2147,2064,116,2,TS
0.5,0,1974,639,547.5,116,2,TS
1,0,46558.5,5430.5,4483.5,105,2,TS
0.3333333333333333,0,13924,3439.6666666666665,3497,224,3,TS
1.5,0.5,14872.5,5118,4944.5,172,2,TS
0.5,0,19984,1919,1982,232,2,TS
0,0,619,292,290,92,1,TS
0.5,0,16531.5,4987,4607.5,134,2,TS
1.1666666666666667,0,25948.666666666668,3014.6666666666665,2176.3333333333335,259,6,TS
4,2,18461,73860.5,10978.5,175,2,TS
0.75,0,1273,348.5,586,453,4,SB
0,0,27140,8391,7573,70,1,TS
0.3333333333333333,0,15697,4020,3609.6666666666665,265,3,TS
3,1,51242,4416.5,2206,195,2,TS
