mean_favorite_count,mean_retweet_count,sum_display_text_width,n,code
0.3333333333333333,0,230,3,TS
0.3333333333333333,0,223,3,TS
2.5,0.5,167,2,TS
4.666666666666667,2.6666666666666665,305,3,TS
5.5,3,196,2,TS
0.5,0,153,2,TS
3,1,164,2,TS
0,0,101,3,TS
1,0,156,2,TS
1.6666666666666667,0,316,3,TS
2,0,170,2,TS
0.5,0,70,2,TS
0,0,95,2,TS
0.3333333333333333,0,118,3,TS
0.5,0,87,2,TS
0.5,0,87,2,TS
0,0,130,2,TS
3,0,176,2,TS
2,0,248,3,TS
0,0,103,2,TS
0.5,0,116,2,TS
0.5,0,116,2,TS
1,0,105,2,TS
0.3333333333333333,0,224,3,TS
1.5,0.5,172,2,TS
0.5,0,232,2,TS
0,0,92,1,TS
0.5,0,134,2,TS
1.1666666666666667,0,259,6,TS
4,2,175,2,TS
0.75,0,453,4,SB
0,0,70,1,TS
0.3333333333333333,0,265,3,TS
3,1,195,2,TS
0.5,0,95,2,TS
2,1,252,2,TS
1,0,87,2,TS
1.2222222222222223,0.5555555555555556,1053,9,SB
0.5,0,89,2,TS
0.5,0,432,4,SB
1,0,263,2,SB
1.6666666666666667,0.3333333333333333,341,3,SB
0.2857142857142857,0,557,7,SB
1,0,383,5,SB
0.4,0,318,5,SB
2.5,1.5,156,2,SB
0.6666666666666666,0.16666666666666666,413,6,SB
3,1,173,2,SB
3,1,166,2,SB
0,0,85,2,TS
2,0,247,2,SB
2,0,227,2,SB
0.75,0,325,4,SB
0,0,508,5,SB
3.3333333333333335,1.3333333333333333,311,3,SB
1.5,0.5,271,2,SB
4,0.5,236,2,SB
2,0,194,2,SB
2,0.25,432,4,SB
2,0.25,443,4,SB
0,0.5,80,2,TS
2.6666666666666665,0.6666666666666666,267,3,SB
2.5,0,177,2,SB
1.5714285714285714,0.5714285714285714,872,7,SB
0.75,0.25,404,4,SB
1,0.6,436,5,SB
0.75,0.25,353,4,SB
2,0.3333333333333333,301,3,SB
1.25,0.5,413,4,SB
2.25,0.5,322,4,SB
1.6,0.6,505,5,SB
0.5,0,177,2,TS
1,0.5,136,2,TS
1,0.6666666666666666,310,3,SB
1,0.5,228,2,SB
1,0.3333333333333333,286,3,SB
1.6666666666666667,0.6666666666666666,287,3,SB
3.5,0,252,2,SB
2.6666666666666665,0,350,3,SB
2.5,0,173,2,SB
2,0,225,2,SB
4.5,0,113,2,TS
4.5,0,98,2,TS
1,0,104,2,TS
4.333333333333333,0.3333333333333333,303,3,SB
2.5,0,102,2,TS
2,1,163,2,SB
1,0.5,173,2,SB
1.8,0.8,645,5,SB
3,1.6666666666666667,390,3,SB
2.5,1,418,4,SB
0.6666666666666666,0,122,3,TS
5.5,5.5,263,2,SB
0.5,0,212,2,SB
1,0,145,2,TS
0,0,100,2,SB
1.4,0.2,613,5,SB
2,0.6666666666666666,412,3,SB
4,2.5,292,4,SB
6.5,3.5,143,2,SB
0.5,0,123,2,TS
5.333333333333333,3.3333333333333335,313,3,SB
4,1.5,246,2,SB
3.5,1.5,226,2,SB
1.6666666666666667,0,261,3,SB
0,0,170,3,TS
2,0,298,3,SB
5.5,1.5,238,2,SB
3,0,115,1,SB
5.5,3,423,4,SB
1.4,1,648,5,SB
1.5,1.25,476,4,SB
2.6666666666666665,1.3333333333333333,371,3,SB
3,0,229,2,SB
2,1.5,195,2,SB
0.5,0.5,259,2,SB
0.3333333333333333,0,157,3,TS
2,0,237,2,SB
1.2,1,523,5,SB
1.5,1.25,480,4,SB
1,1,468,5,SB
0.5714285714285714,0.7142857142857143,640,7,SB
2.5,2.5,264,2,SB
1,0.3333333333333333,407,3,SB
1,0,187,2,TS
1,0,225,2,SB
1,0.5,275,2,SB
0,0,70,2,TS
1,0,263,2,SB
4,2.5,235,2,SB
0,0,145,2,SB
3.5,1.25,462,4,SB
1,0,67,1,SB
1,0.5,129,2,TS
1.625,0.25,847,8,SB
1.2,0.4,589,5,SB
1,0.2857142857142857,653,7,SB
1.5,0.75,434,4,SB
0,0,74,2,TS
1,0,91,2,TS
1,0,93,2,TS
0,0,127,1,SB
1.5,0,376,4,SB
3,0.25,371,4,SB
1.5,1.5,452,4,SB
2.3333333333333335,2.6666666666666665,381,3,SB
1,0.8333333333333334,572,6,SB
1.4,1,551,5,SB
1.5,1.25,395,4,SB
0,0,227,3,TS
1.1666666666666667,0.25,1354,12,SB
0.6666666666666666,0.16666666666666666,1245,12,SB
1.0714285714285714,0.21428571428571427,1647,14,SB
1.0769230769230769,0.3076923076923077,1439,13,SB
2,0.42857142857142855,764,7,SB
2.4285714285714284,0.14285714285714285,752,7,SB
1.3333333333333333,0,595,6,SB
0.8333333333333334,0.16666666666666666,691,6,SB
0.8,0.2,587,5,SB
1,0.2,573,5,SB
1.5,0.5,59,2,TS
0.7142857142857143,0.14285714285714285,715,7,SB
1.75,0.625,902,8,SB
0.6666666666666666,0.16666666666666666,719,6,SB
0.5,0,456,4,SB
1,0.16666666666666666,623,6,SB
1.4,0.4,579,5,SB
0.5,0,596,6,SB
2,1.5,215,2,SB
3.5,1.5,127,2,SB
4.5,2,227,2,SB
1,0,49,2,TS
4,3.5,208,2,SB
0.5,1,96,2,SB
1.8,0.4,640,5,SB
0.6666666666666666,0,340,3,SB
1.6666666666666667,0,331,3,SB
1.5,0,267,2,SB
2,1,262,2,SB
6.5,2,176,2,SB
8,2.5,274,2,SB
0,0,201,2,SB
0.5,0,151,2,TS
0.5,0,50,2,TS
1,0,121,2,TS
1.5,0.5,101,2,TS
0,0,94,2,TS
1.3333333333333333,0,365,3,SB
1,0.5,278,2,SB
1.5,0.5,274,2,SB
0.25,0,442,4,TS
0.5,0.5,154,2,TS
1.5714285714285714,0.14285714285714285,897,7,SB
1.6,0.2,612,5,SB
0.5,0,89,2,TS
1.75,0.25,551,4,SB
0,0,224,2,SB
0.4,0.4,629,5,SB
0,0,285,2,SB
5.5,2.5,277,2,SB
1,0,194,2,SB
3,1,201,2,SB
2,0.5,265,2,SB
2.3333333333333335,0.6666666666666666,238,3,TS
3.5,1,176,2,TS
0.5,0,67,2,TS
3,0.5,144,2,SB
1.6666666666666667,0.6666666666666666,351,3,TS
4,2.5,216,2,SB
0.5,0,139,2,SB
4.5,1.5,232,2,SB
0,0.5,127,2,SB
0,0,141,2,TS
1.5,1.5,197,2,SB
3.5,2.5,259,2,SB
1,1.5,220,2,SB
0,0,92,2,TS
1,1,248,2,SB
0.5,1,239,2,SB
2.5,0.5,452,4,SB
4,1,336,3,SB
1.5,0,311,4,SB
1,0,446,6,SB
1.1666666666666667,0,448,6,SB
1,0,351,4,SB
1.1666666666666667,0,390,6,SB
2,1.3333333333333333,255,3,SB
0.5,0,97,2,TS
0,0,113,1,SB
1,0.5,387,4,TS
36,52,109,1,TS
2,1,168,2,SB
0.5,0,181,2,TS
2,0,70,1,TS
1,0,148,2,TS
0.6666666666666666,0,401,3,SB
3,0.5,230,2,SB
0,0,71,1,TS
0.25,0,123,4,TS
2.6666666666666665,0,399,3,SB
3.5,1,225,2,SB
6.5,5.25,330,4,SB
8,6,117,2,TS
0.6666666666666666,0,394,3,SB
3,0,267,2,SB
2.5,5.5,270,2,TS
4,1,255,2,SB
0,0,207,2,SB
5.5,0,125,2,TS
0,0,114,2,TS
4,0.3333333333333333,238,3,TS
4,0.3333333333333333,244,3,TS
0,0,115,2,TS
0.5,0,107,2,TS
4,3.5,260,2,SB
0.5,0,122,2,TS
0.5,0,252,4,TS
2,1,203,2,TS
3,0.6666666666666666,400,3,TS
2,0.3333333333333333,331,3,TS
0,0,123,2,TS
1,0,218,2,TS
1,0,105,2,TS
0.5,0.5,153,2,TS
0.5,0.5,153,2,TS
1.5,0.5,133,2,TS
1,0.5,130,2,TS
1.5,0,125,2,TS
