student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,subject,semester,section,int,uv,percomp,tv,sum_discussion_posts,sum_n_words,overall_percent_earned,variability_percent_earned,n_with_100_pct
91619,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,35.832,AnPhA,S116,02,4,4,4,4,3,104,0.4232352941176471,0.17343925033071578,4
91634,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,84.9893328,AnPhA,S116,02,4,3.6666666666666665,3.5,3.857142857142857,9,519,0.9034117647058825,0.11722154742338024,11
91672,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,92.8824,AnPhA,S116,02,3.6,4,2,4,9,397,0.9375294117647058,0.12144283032773773,10
91709,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,87.2928,AnPhA,S116,02,4.2,3.6666666666666665,3.5,3.857142857142857,6,331,0.924264705882353,0.11229553365076039,12
91771,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,28.48,AnPhA,S116,02,5,4,4.5,4.571428571428571,3,197,0.4823529411764706,0.14463057751982544,5
91932,AnPhA-S116-02,M,Other,Approved/Enrolled,82.6117328,AnPhA,S116,02,5,5,4.5,5,6,76,0.8807647058823529,0.08181874176712892,5
92185,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,91.8528,AnPhA,S116,02,4.8,4.666666666666667,4,4.714285714285714,10,304,0.975,0.09117090820499693,16
52326,AnPhA-S216-01,F,Other,Approved/Enrolled,83.5882656,AnPhA,S216,01,3.6,4,3,4,NA,NA,0.9088235294117647,0.0949510869613666,9
58168,AnPhA-S216-01,F,Other,Approved/Enrolled,96.5216,AnPhA,S216,01,4.2,4.666666666666667,3.5,4.285714285714286,NA,NA,0.9911764705882353,0.026213250521901633,18
67013,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,46.072,AnPhA,S216,01,4.2,4,2.5,4.142857142857143,NA,NA,0.4732352941176471,0.2179894460582219,3
69743,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,85.4714656,AnPhA,S216,01,4.2,4.666666666666667,4,4.285714285714286,NA,NA,0.9279411764705883,0.08157222064555959,10
71725,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,77.2789328,AnPhA,S216,01,4.8,4.333333333333333,4,4.571428571428571,NA,NA,0.7746470588235294,0.16792101317782318,7
76673,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,92.2,AnPhA,S216,01,4,4,3.5,4,NA,NA,0.9779411764705882,0.037756166462966465,15
76674,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,95.8608,AnPhA,S216,01,4.8,5,4,4.857142857142857,NA,NA,0.969,0.05530877958494937,15
