student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,time_spent,subject,semester,section,int,uv,percomp,percentage_earned,sum_discussion_posts,sum_n_words
91932,AnPhA-S116-02,M,Other,Approved/Enrolled,82.6117328,1182.9667,AnPhA,S116,02,5,5,4.5,0.8807647058823529,6,76
92185,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,91.8528,6162.1998,AnPhA,S116,02,4.8,4.666666666666667,4,0.975,10,304
52326,AnPhA-S216-01,F,Other,Approved/Enrolled,83.5882656,1321.8164,AnPhA,S216,01,3.6,4,3,0.9088235294117647,NA,NA
58168,AnPhA-S216-01,F,Other,Approved/Enrolled,96.5216,433.3669,AnPhA,S216,01,4.2,4.666666666666667,3.5,0.9911764705882353,NA,NA
67013,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,46.072,2297.2332,AnPhA,S216,01,4.2,4,2.5,0.4732352941176471,NA,NA
69743,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,85.4714656,7084.7003,AnPhA,S216,01,4.2,4.666666666666667,4,0.9279411764705883,NA,NA
71725,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,77.2789328,3514.5498,AnPhA,S216,01,4.8,4.333333333333333,4,0.7746470588235294,NA,NA
76673,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,92.2,4945.2164,AnPhA,S216,01,4,4,3.5,0.9779411764705882,NA,NA
76674,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,95.8608,2368.4997,AnPhA,S216,01,4.8,5,4,0.969,NA,NA
76998,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,40.2389328,1270.0997,AnPhA,S216,01,3.4,3.3333333333333335,4,0.49823529411764705,NA,NA
78164,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,76.104,2591.6168,AnPhA,S216,01,4.6,4,4,0.8188235294117646,NA,NA
85248,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,94.8261328,2269.8829,AnPhA,S216,01,4.2,4,3.5,0.9573529411764706,NA,NA
86268,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,93.5386672,1272.3172,AnPhA,S216,01,5,5,4,0.9794117647058823,NA,NA
